,election_year,place_(zz_=_exterior),municipality_code,municipality_name,gender_code,gender_description,marital_status_code,marital_status_description,age_group_code,age_group_description,educational_attainment_code,educational_attainment_description,quantity_of_voters
0,1998,ZZ,11487,POLONIA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,57
1,1998,ZZ,98361,NIGERIA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,44
2,1998,ZZ,98965,ANGOLA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,95
3,1998,ZZ,98507,COSTA RICA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,95
4,1998,ZZ,98620,BULGARIA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,12
5,1998,ZZ,98345,NORUEGA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,115
6,1998,ZZ,98949,AUSTRIA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,249
7,1998,ZZ,29017,PORTO RICO,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,55
8,1998,ZZ,29173,IUGUSLAVIA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,5
9,1998,ZZ,11240,ESPANHA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,282
10,1998,ZZ,11304,GUIANA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,34
11,1998,ZZ,11100,ALEMANHA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,2499
12,1998,ZZ,98426,FINLANDIA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,66
13,1998,ZZ,98507,COSTA RICA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,62
14,1998,ZZ,29203,IRA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,13
15,1998,ZZ,98841,INGLATERRA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,596
16,1998,ZZ,98701,ARGELIA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,4
17,1998,ZZ,98086,EGITO,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,42
18,1998,ZZ,11568,URUGUAI,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,335
19,1998,ZZ,98523,CINGAPURA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,81
20,1998,ZZ,98949,AUSTRIA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,118
21,1998,ZZ,98485,DINAMARCA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,155
22,1998,ZZ,98442,FILIPINAS,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,46
23,1998,ZZ,98329,PANAMA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,73
24,1998,ZZ,11509,PORTUGAL,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,1849
25,1998,ZZ,29149,LIBIA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,8
26,1998,ZZ,29114,MOCAMBIQUE,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,124
27,1998,ZZ,29238,HUNGRIA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,21
28,1998,ZZ,11142,ARGENTINA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,289
29,1998,ZZ,98868,CUBA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,41
30,1998,ZZ,98582,COSTA DO MARFIM,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,73
31,1998,ZZ,98906,CANADA,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,948
32,1998,ZZ,11460,PERU,2,MASCULINO,-3,#NE,-3,#NE,0,NAO INFORMADO,110
33,1998,ZZ,98841,INGLATERRA,4,FEMININO,-3,#NE,-3,#NE,0,NAO INFORMADO,814
