,election_year,place_(zz_=_exterior),municipality_code,municipality_name,gender_code,gender_description,marital_status_code,marital_status_description,age_group_code,age_group_description,educational_attainment_code,educational_attainment_description,quantity_of_voters
0,2002,ZZ,11207,COREIA,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,1
1,2002,ZZ,98868,CUBA,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,14
2,2002,ZZ,11444,PARAGUAI,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,12
3,2002,ZZ,11509,PORTUGAL,2,MASCULINO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,285
4,2002,ZZ,98906,CANADA,2,MASCULINO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,183
5,2002,ZZ,2828,TAIWAN,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,9
6,2002,ZZ,98965,ANGOLA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,18
7,2002,ZZ,11584,VENEZUELA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,21
8,2002,ZZ,11169,CHILE,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,122
9,2002,ZZ,98825,INDIA,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,12
10,2002,ZZ,11460,PERU,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,50
11,2002,ZZ,98221,SIRIA,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,13
12,2002,ZZ,98388,NICARAGUA,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,9
13,2002,ZZ,98981,AUSTRALIA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,88
14,2002,ZZ,11142,ARGENTINA,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,1
15,2002,ZZ,98540,CHINA,4,FEMININO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,1
16,2002,ZZ,98906,CANADA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,91
17,2002,ZZ,98388,NICARAGUA,2,MASCULINO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,20
18,2002,ZZ,98540,CHINA,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,2
19,2002,ZZ,98469,EL SALVADOR,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,15
20,2002,ZZ,98922,BELGICA,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,55
21,2002,ZZ,98760,RUSSIA,2,MASCULINO,-3,#NE,-3,#NE,2,LE E ESCREVE,1
22,2002,ZZ,29122,MARROCOS,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,7
23,2002,ZZ,11568,URUGUAI,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,85
24,2002,ZZ,11800,BOLIVIA,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,7
25,2002,ZZ,98523,CINGAPURA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,48
26,2002,ZZ,11509,PORTUGAL,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,70
27,2002,ZZ,11142,ARGENTINA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,10
28,2002,ZZ,29076,HONDURAS,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,14
29,2002,ZZ,11584,VENEZUELA,2,MASCULINO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,9
30,2002,ZZ,29181,JORDANIA,2,MASCULINO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,10
31,2002,ZZ,98540,CHINA,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,10
32,2002,ZZ,11266,ESTADOS UNIDOS,2,MASCULINO,-3,#NE,-3,#NE,2,LE E ESCREVE,7
33,2002,ZZ,98582,COSTA DO MARFIM,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,3
34,2002,ZZ,11568,URUGUAI,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,1
35,2002,ZZ,11444,PARAGUAI,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,75
36,2002,ZZ,98922,BELGICA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,19
37,2002,ZZ,11185,COLOMBIA,2,MASCULINO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,4
38,2002,ZZ,98426,FINLANDIA,2,MASCULINO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,17
39,2002,ZZ,11401,LIBANO,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,24
40,2002,ZZ,98345,NORUEGA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,73
41,2002,ZZ,11363,ITALIA,2,MASCULINO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,27
42,2002,ZZ,98566,CHECOSLOVAQUIA,2,MASCULINO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,9
43,2002,ZZ,11827,GRECIA,4,FEMININO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,45
44,2002,ZZ,11444,PARAGUAI,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,6
45,2002,ZZ,29149,LIBIA,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,1
