,election_year,place_(zz_=_exterior),municipality_code,municipality_name,gender_code,gender_description,marital_status_code,marital_status_description,age_group_code,age_group_description,educational_attainment_code,educational_attainment_description,quantity_of_voters
0,2006,ZZ,11800,BOLIVIA,4,FEMININO,-3,#NE,-3,#NE,1,ANALFABETO,1
1,2006,ZZ,98949,AUSTRIA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,51
2,2006,ZZ,29181,JORDANIA,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,11
3,2006,ZZ,11282,FRANCA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,5
4,2006,ZZ,98205,TAILANDIA,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,1
5,2006,ZZ,98361,NIGERIA,4,FEMININO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,1
6,2006,ZZ,29033,IRLANDA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,35
7,2006,ZZ,11100,ALEMANHA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,50
8,2006,ZZ,2828,TAIWAN,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,9
9,2006,ZZ,98469,EL SALVADOR,2,MASCULINO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,18
10,2006,ZZ,98760,RUSSIA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,2
11,2006,ZZ,11304,GUIANA,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MEDIO COMPLETO,9
12,2006,ZZ,29211,INDONESIA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,1
13,2006,ZZ,11320,GUIANA FRANCESA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,25
14,2006,ZZ,11347,ISRAEL,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MEDIO INCOMPLETO,98
