,country,total
0,AFRICA DO SUL,3750
1,ANGOLA,15000
2,ARGELIA,54
3,BENIN,50
4,BOTSUANA,20
5,BURKINA FASO,50
6,CABO VERDE,300
7,CAMAROES,60
8,CHADE,16
9,REPUBLICA DEMOCRATICA DO CONGO,100
10,REPUBLICA DO CONGO,32
11,COSTA DO MARFIM,100
12,EGITO,675
13,ERITREIA,1
14,ETIOPIA,50
15,GABAO,73
16,GANA,240
17,GUINE ,34
18,GUINE EQUATORIAL,58
19,GUINE BISSAU,569
20,MALAWI,70
21,MALI,29
22,MARROCOS,311
23,MAURITANIA,8
24,MOCAMBIQUE,3500
25,NAMIBIA,120
26,NIGERIA,180
27,KENIA,280
28,BURUNDI,15
29,RUANDA,35
30,SOMALIA,20
31,UGANDA,50
32,SAO TOME E PRINCIPE,106
33,SENEGAL,250
34,SUDAO,5
35,TANZANIA,70
36,TOGO,40
37,TUNISIA,70
38,ZAMBIA,100
39,ZIMBABUE,15
40,ARGENTINA,89020
41,BOLIVIA,39258
42,CHILE,18185
43,COLOMBIA,18071
44,EQUADOR,3000
45,GUIANA,15800
46,GUIANA FRANCESA,72300
47,PARAGUAI,240000
48,PERU,2993
49,SURINAME,30000
50,URUGUAI,43412
51,VENEZUELA,11800
52,COMUNIDADE DAS BAHAMAS,200
53,BARBADOS,35
54,BELIZE,55
55,COSTA RICA,1500
56,CUBA,179
57,EL SALVADOR,500
58,GUATEMALA,550
59,HAITI,90
60,HONDURAS,336
61,JAMAICA,60
62,ILHAS CAYMAN,200
63,NICARAGUA,300
64,PANAMA,4500
65,REPUBLICA DOMINICANA,500
66,SANTA LUCIA,16
67,TRINIDAD TOBAGO,112
68,ARUBA,288
69,CURACAO,260
70,CANADA,121950
71,ESTADOS UNIDOS,1775000
72,MEXICO,45000
73,AZERBAIJAO,70
74,BANGLADESH,14
75,CAZAQUISTAO,104
76,QUIRGUISTAO,1
77,CHINA,10106
78,COREIA DO NORTE,1
79,COREIA,1088
80,FILIPINAS,385
81,MICRONESIA,1
82,GUAM,3
83,INDIA,860
84,INDONESIA,1000
85,JAPAO,211138
86,MALASIA,400
87,MYANMAR,36
88,NEPAL,60
89,PAQUISTAO,40
90,CINGAPURA,1500
91,SRI LANKA,22
92,TAILANDIA,315
93,TAIWAN,264
94,TIMOR-LESTE,123
95,VIETNA,333
96,ALBANIA,120
97,ALEMANHA,144120
98,ARMENIA,30
99,AUSTRIA,10000
100,BELARUS,57
101,BELGICA,40000
102,BOSNIA-HERZEGOVINA,50
103,BULGARIA,76
104,CHIPRE,230
105,CROACIA,300
106,DINAMARCA,4599
107,ESLOVENIA,299
108,ESPANHA,156439
109,ESTONIA,414
110,FINLANDIA,2500
111,FRANCA,81300
112,MONACO,100
113,GEORGIA,60
114,GRECIA,5000
115,HUNGRIA,800
116,IRLANDA,50000
117,ITALIA,161000
118,NORUEGA,10858
119,ISLANDIA,323
120,PAISES BAIXOS,32252
121,POLONIA,3000
122,PORTUGAL,276200
123,INGLATERRA,220000
124,ESLOVAKIA,430
125,REPUBLICA CHECA,1053
126,ROMENIA,425
127,RUSSIA,1100
128,SERVIA,282
129,SUECIA,16814
130,SUICA,75700
131,LIECHTENSTEIN,100
132,TURQUIA,1050
133,UCRANIA,422
134,MOLDOVA,12
135,VATICANO,10
136,AUSTRALIA,56610
137,NOVA ZELANDIA,6663
138,ARABIA SAUDITA,650
139,CATAR,1968
140,EMIRADOS ARABES,5500
141,IRA,116
142,IRAQUE,80
143,ISRAEL,15000
144,JORDANIA,2650
145,KUWAIT,300
146,LIBANO,21000
147,OMA,400
148,PALESTINA,6000
149,SIRIA,2600
