,election_year,place_(zz_=_exterior),municipality_name,municipality_code,gender_code,gender_description,educational_attainment_code,age_group_description,educational_attainment_description,quantity_of_voters
0,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,5,18 A 20 ANOS,ENSINO MEDIO INCOMPLETO,2
1,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,1
2,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,4,25 A 34 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
3,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,3,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,5
4,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,1
5,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,1
6,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,2
7,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,1
8,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
9,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,2
10,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,1
11,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,5,35 A 44 ANOS,ENSINO MEDIO INCOMPLETO,5
12,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,8,35 A 44 ANOS,SUPERIOR COMPLETO,2
13,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,7,35 A 44 ANOS,SUPERIOR INCOMPLETO,1
14,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,4,45 A 59 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
15,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,10
16,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,8,45 A 59 ANOS,SUPERIOR COMPLETO,7
17,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,4,60 A 69 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
18,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,6,60 A 69 ANOS,ENSINO MEDIO COMPLETO,3
19,2010,ZZ,COSTA DO MARFIM,98582,1,FEMININO,8,60 A 69 ANOS,SUPERIOR COMPLETO,4
20,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,1
21,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,5,21 A 24 ANOS,ENSINO MEDIO INCOMPLETO,1
22,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,1
23,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,3,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
24,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,4
25,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,8,25 A 34 ANOS,SUPERIOR COMPLETO,3
26,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
27,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,4
28,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,1
29,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,5,35 A 44 ANOS,ENSINO MEDIO INCOMPLETO,2
30,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,8,35 A 44 ANOS,SUPERIOR COMPLETO,1
