,election_year,place_(zz_=_exterior),municipality_name,municipality_code,gender_code,gender_description,educational_attainment_code,age_group_description,educational_attainment_description,quantity_of_voters
31,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,3,45 A 59 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
32,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,1
33,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,5,45 A 59 ANOS,ENSINO MEDIO INCOMPLETO,2
34,2010,ZZ,COSTA DO MARFIM,98582,1,MASCULINO,8,45 A 59 ANOS,SUPERIOR COMPLETO,3
35,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,5,18 A 20 ANOS,ENSINO MEDIO INCOMPLETO,1
36,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,8,21 A 24 ANOS,SUPERIOR COMPLETO,1
37,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,2
38,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,1
39,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,6
40,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,1
41,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
42,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,1
43,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,8,35 A 44 ANOS,SUPERIOR COMPLETO,6
44,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,7,35 A 44 ANOS,SUPERIOR INCOMPLETO,1
45,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,4
46,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,8,45 A 59 ANOS,SUPERIOR COMPLETO,3
47,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,7,45 A 59 ANOS,SUPERIOR INCOMPLETO,3
48,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,8,60 A 69 ANOS,SUPERIOR COMPLETO,3
49,2010,ZZ,EMIRADOS ARABES,98728,1,FEMININO,8,70 A 79 ANOS,SUPERIOR COMPLETO,1
50,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,6,18 A 20 ANOS,ENSINO MEDIO COMPLETO,1
51,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,5,18 A 20 ANOS,ENSINO MEDIO INCOMPLETO,1
52,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,8,21 A 24 ANOS,SUPERIOR COMPLETO,1
53,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,1
54,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,2,25 A 34 ANOS,LE E ESCREVE,1
55,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,8,25 A 34 ANOS,SUPERIOR COMPLETO,3
56,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,2
57,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,1
58,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,8,35 A 44 ANOS,SUPERIOR COMPLETO,3
59,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,7,35 A 44 ANOS,SUPERIOR INCOMPLETO,1
60,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,8,45 A 59 ANOS,SUPERIOR COMPLETO,11
61,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,8,60 A 69 ANOS,SUPERIOR COMPLETO,2
62,2010,ZZ,EMIRADOS ARABES,98728,1,MASCULINO,8,70 A 79 ANOS,SUPERIOR COMPLETO,1
63,2010,ZZ,JORDANIA,29181,1,FEMININO,6,17 ANOS,ENSINO MEDIO COMPLETO,1
64,2010,ZZ,JORDANIA,29181,1,FEMININO,4,18 A 20 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
65,2010,ZZ,JORDANIA,29181,1,FEMININO,6,18 A 20 ANOS,ENSINO MEDIO COMPLETO,3
66,2010,ZZ,JORDANIA,29181,1,FEMININO,7,18 A 20 ANOS,SUPERIOR INCOMPLETO,4
67,2010,ZZ,JORDANIA,29181,1,FEMININO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,5
68,2010,ZZ,JORDANIA,29181,1,FEMININO,8,21 A 24 ANOS,SUPERIOR COMPLETO,4
69,2010,ZZ,JORDANIA,29181,1,FEMININO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,11
70,2010,ZZ,JORDANIA,29181,1,FEMININO,4,25 A 34 ANOS,ENSINO FUNDAMENTAL COMPLETO,3
71,2010,ZZ,JORDANIA,29181,1,FEMININO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,9
72,2010,ZZ,JORDANIA,29181,1,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,3
73,2010,ZZ,JORDANIA,29181,1,FEMININO,2,25 A 34 ANOS,LE E ESCREVE,1
74,2010,ZZ,JORDANIA,29181,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,15
75,2010,ZZ,JORDANIA,29181,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,7
76,2010,ZZ,JORDANIA,29181,1,FEMININO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,6
77,2010,ZZ,JORDANIA,29181,1,FEMININO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,6
78,2010,ZZ,JORDANIA,29181,1,FEMININO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,20
79,2010,ZZ,JORDANIA,29181,1,FEMININO,5,35 A 44 ANOS,ENSINO MEDIO INCOMPLETO,3
80,2010,ZZ,JORDANIA,29181,1,FEMININO,8,35 A 44 ANOS,SUPERIOR COMPLETO,17
81,2010,ZZ,JORDANIA,29181,1,FEMININO,7,35 A 44 ANOS,SUPERIOR INCOMPLETO,5
82,2010,ZZ,JORDANIA,29181,1,FEMININO,4,45 A 59 ANOS,ENSINO FUNDAMENTAL COMPLETO,3
83,2010,ZZ,JORDANIA,29181,1,FEMININO,3,45 A 59 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,3
84,2010,ZZ,JORDANIA,29181,1,FEMININO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,24
85,2010,ZZ,JORDANIA,29181,1,FEMININO,5,45 A 59 ANOS,ENSINO MEDIO INCOMPLETO,6
86,2010,ZZ,JORDANIA,29181,1,FEMININO,2,45 A 59 ANOS,LE E ESCREVE,2
87,2010,ZZ,JORDANIA,29181,1,FEMININO,8,45 A 59 ANOS,SUPERIOR COMPLETO,6
88,2010,ZZ,JORDANIA,29181,1,FEMININO,7,45 A 59 ANOS,SUPERIOR INCOMPLETO,3
89,2010,ZZ,JORDANIA,29181,1,FEMININO,1,60 A 69 ANOS,ANALFABETO,1
90,2010,ZZ,JORDANIA,29181,1,FEMININO,4,60 A 69 ANOS,ENSINO FUNDAMENTAL COMPLETO,3
91,2010,ZZ,JORDANIA,29181,1,FEMININO,3,60 A 69 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,4
92,2010,ZZ,JORDANIA,29181,1,FEMININO,6,60 A 69 ANOS,ENSINO MEDIO COMPLETO,7
93,2010,ZZ,JORDANIA,29181,1,FEMININO,2,60 A 69 ANOS,LE E ESCREVE,1
94,2010,ZZ,JORDANIA,29181,1,FEMININO,8,60 A 69 ANOS,SUPERIOR COMPLETO,2
95,2010,ZZ,JORDANIA,29181,1,FEMININO,7,60 A 69 ANOS,SUPERIOR INCOMPLETO,1
96,2010,ZZ,JORDANIA,29181,1,FEMININO,3,70 A 79 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
97,2010,ZZ,JORDANIA,29181,1,FEMININO,6,70 A 79 ANOS,ENSINO MEDIO COMPLETO,1
98,2010,ZZ,JORDANIA,29181,1,FEMININO,5,70 A 79 ANOS,ENSINO MEDIO INCOMPLETO,1
99,2010,ZZ,JORDANIA,29181,1,FEMININO,2,70 A 79 ANOS,LE E ESCREVE,2
100,2010,ZZ,JORDANIA,29181,1,FEMININO,8,70 A 79 ANOS,SUPERIOR COMPLETO,1
101,2010,ZZ,JORDANIA,29181,1,FEMININO,7,70 A 79 ANOS,SUPERIOR INCOMPLETO,1
102,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,18 A 20 ANOS,ENSINO MEDIO COMPLETO,12
103,2010,ZZ,JORDANIA,29181,1,MASCULINO,5,18 A 20 ANOS,ENSINO MEDIO INCOMPLETO,5
104,2010,ZZ,JORDANIA,29181,1,MASCULINO,7,18 A 20 ANOS,SUPERIOR INCOMPLETO,2
105,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,8
106,2010,ZZ,JORDANIA,29181,1,MASCULINO,5,21 A 24 ANOS,ENSINO MEDIO INCOMPLETO,3
107,2010,ZZ,JORDANIA,29181,1,MASCULINO,2,21 A 24 ANOS,LE E ESCREVE,1
108,2010,ZZ,JORDANIA,29181,1,MASCULINO,8,21 A 24 ANOS,SUPERIOR COMPLETO,4
109,2010,ZZ,JORDANIA,29181,1,MASCULINO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,11
110,2010,ZZ,JORDANIA,29181,1,MASCULINO,4,25 A 34 ANOS,ENSINO FUNDAMENTAL COMPLETO,3
111,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,10
112,2010,ZZ,JORDANIA,29181,1,MASCULINO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,8
113,2010,ZZ,JORDANIA,29181,1,MASCULINO,8,25 A 34 ANOS,SUPERIOR COMPLETO,10
114,2010,ZZ,JORDANIA,29181,1,MASCULINO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,6
115,2010,ZZ,JORDANIA,29181,1,MASCULINO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
116,2010,ZZ,JORDANIA,29181,1,MASCULINO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,4
117,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,15
118,2010,ZZ,JORDANIA,29181,1,MASCULINO,5,35 A 44 ANOS,ENSINO MEDIO INCOMPLETO,3
119,2010,ZZ,JORDANIA,29181,1,MASCULINO,8,35 A 44 ANOS,SUPERIOR COMPLETO,10
120,2010,ZZ,JORDANIA,29181,1,MASCULINO,7,35 A 44 ANOS,SUPERIOR INCOMPLETO,6
121,2010,ZZ,JORDANIA,29181,1,MASCULINO,4,45 A 59 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
122,2010,ZZ,JORDANIA,29181,1,MASCULINO,3,45 A 59 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
123,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,7
124,2010,ZZ,JORDANIA,29181,1,MASCULINO,8,45 A 59 ANOS,SUPERIOR COMPLETO,8
125,2010,ZZ,JORDANIA,29181,1,MASCULINO,7,45 A 59 ANOS,SUPERIOR INCOMPLETO,3
126,2010,ZZ,JORDANIA,29181,1,MASCULINO,1,60 A 69 ANOS,ANALFABETO,1
127,2010,ZZ,JORDANIA,29181,1,MASCULINO,4,60 A 69 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
128,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,60 A 69 ANOS,ENSINO MEDIO COMPLETO,3
129,2010,ZZ,JORDANIA,29181,1,MASCULINO,2,60 A 69 ANOS,LE E ESCREVE,1
130,2010,ZZ,JORDANIA,29181,1,MASCULINO,8,60 A 69 ANOS,SUPERIOR COMPLETO,4
131,2010,ZZ,JORDANIA,29181,1,MASCULINO,7,60 A 69 ANOS,SUPERIOR INCOMPLETO,1
132,2010,ZZ,JORDANIA,29181,1,MASCULINO,4,70 A 79 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
133,2010,ZZ,JORDANIA,29181,1,MASCULINO,3,70 A 79 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
134,2010,ZZ,JORDANIA,29181,1,MASCULINO,6,70 A 79 ANOS,ENSINO MEDIO COMPLETO,2
135,2010,ZZ,JORDANIA,29181,1,MASCULINO,2,70 A 79 ANOS,LE E ESCREVE,1
136,2010,ZZ,JORDANIA,29181,1,MASCULINO,8,70 A 79 ANOS,SUPERIOR COMPLETO,1
137,2010,ZZ,JORDANIA,29181,1,MASCULINO,3,SUPERIOR A 79 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
138,2010,ZZ,TURQUIA,98108,1,FEMININO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,1
139,2010,ZZ,TURQUIA,98108,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,1
140,2010,ZZ,TURQUIA,98108,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,1
141,2010,ZZ,TURQUIA,98108,1,FEMININO,1,35 A 44 ANOS,ANALFABETO,1
142,2010,ZZ,TURQUIA,98108,1,FEMININO,8,35 A 44 ANOS,SUPERIOR COMPLETO,4
143,2010,ZZ,TURQUIA,98108,1,FEMININO,1,45 A 59 ANOS,ANALFABETO,1
144,2010,ZZ,TURQUIA,98108,1,FEMININO,4,45 A 59 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
145,2010,ZZ,TURQUIA,98108,1,FEMININO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,2
146,2010,ZZ,TURQUIA,98108,1,FEMININO,8,45 A 59 ANOS,SUPERIOR COMPLETO,4
147,2010,ZZ,TURQUIA,98108,1,FEMININO,7,45 A 59 ANOS,SUPERIOR INCOMPLETO,1
148,2010,ZZ,TURQUIA,98108,1,FEMININO,6,60 A 69 ANOS,ENSINO MEDIO COMPLETO,1
149,2010,ZZ,TURQUIA,98108,1,FEMININO,6,SUPERIOR A 79 ANOS,ENSINO MEDIO COMPLETO,1
150,2010,ZZ,TURQUIA,98108,1,FEMININO,8,SUPERIOR A 79 ANOS,SUPERIOR COMPLETO,1
151,2010,ZZ,TURQUIA,98108,1,MASCULINO,4,16 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
152,2010,ZZ,TURQUIA,98108,1,MASCULINO,7,18 A 20 ANOS,SUPERIOR INCOMPLETO,1
153,2010,ZZ,TURQUIA,98108,1,MASCULINO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,1
154,2010,ZZ,TURQUIA,98108,1,MASCULINO,8,35 A 44 ANOS,SUPERIOR COMPLETO,2
155,2010,ZZ,TURQUIA,98108,1,MASCULINO,7,35 A 44 ANOS,SUPERIOR INCOMPLETO,1
156,2010,ZZ,TURQUIA,98108,1,MASCULINO,8,45 A 59 ANOS,SUPERIOR COMPLETO,3
157,2010,ZZ,TURQUIA,98108,1,MASCULINO,7,45 A 59 ANOS,SUPERIOR INCOMPLETO,1
158,2010,ZZ,TURQUIA,98108,1,MASCULINO,6,70 A 79 ANOS,ENSINO MEDIO COMPLETO,1
159,2010,ZZ,ARGELIA,98701,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,2
160,2010,ZZ,ARGELIA,98701,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,3
161,2010,ZZ,ARGELIA,98701,1,FEMININO,8,35 A 44 ANOS,SUPERIOR COMPLETO,1
162,2010,ZZ,ARGELIA,98701,1,FEMININO,5,45 A 59 ANOS,ENSINO MEDIO INCOMPLETO,2
163,2010,ZZ,ARGELIA,98701,1,FEMININO,8,45 A 59 ANOS,SUPERIOR COMPLETO,2
164,2010,ZZ,ARGELIA,98701,1,FEMININO,8,60 A 69 ANOS,SUPERIOR COMPLETO,1
165,2010,ZZ,ARGELIA,98701,1,MASCULINO,8,25 A 34 ANOS,SUPERIOR COMPLETO,2
166,2010,ZZ,ARGELIA,98701,1,MASCULINO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
167,2010,ZZ,ARGELIA,98701,1,MASCULINO,8,35 A 44 ANOS,SUPERIOR COMPLETO,1
168,2010,ZZ,ARGELIA,98701,1,MASCULINO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,3
169,2010,ZZ,ARGELIA,98701,1,MASCULINO,5,45 A 59 ANOS,ENSINO MEDIO INCOMPLETO,1
170,2010,ZZ,ARGELIA,98701,1,MASCULINO,8,45 A 59 ANOS,SUPERIOR COMPLETO,9
171,2010,ZZ,ARGELIA,98701,1,MASCULINO,5,60 A 69 ANOS,ENSINO MEDIO INCOMPLETO,1
172,2010,ZZ,ARGELIA,98701,1,MASCULINO,8,60 A 69 ANOS,SUPERIOR COMPLETO,3
173,2010,ZZ,ARGENTINA,11142,6,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,1
174,2010,ZZ,ARGENTINA,11142,6,FEMININO,4,45 A 59 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
175,2010,ZZ,ARGENTINA,11142,6,MASCULINO,3,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
176,2010,ZZ,ARGENTINA,11142,6,MASCULINO,6,45 A 59 ANOS,ENSINO MEDIO COMPLETO,1
177,2010,ZZ,ARGENTINA,11142,6,MASCULINO,7,45 A 59 ANOS,SUPERIOR INCOMPLETO,1
178,2010,ZZ,ARGENTINA,11142,6,MASCULINO,6,70 A 79 ANOS,ENSINO MEDIO COMPLETO,1
179,2010,ZZ,ARGENTINA,11142,6,MASCULINO,8,SUPERIOR A 79 ANOS,SUPERIOR COMPLETO,1
180,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,16 ANOS,ENSINO MEDIO INCOMPLETO,1
181,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,17 ANOS,ENSINO MEDIO INCOMPLETO,1
182,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,18 A 20 ANOS,ENSINO MEDIO COMPLETO,4
183,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,18 A 20 ANOS,ENSINO MEDIO INCOMPLETO,1
184,2010,ZZ,PARAGUAI,11444,1,FEMININO,8,18 A 20 ANOS,SUPERIOR COMPLETO,1
185,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,18 A 20 ANOS,SUPERIOR INCOMPLETO,5
186,2010,ZZ,PARAGUAI,11444,1,FEMININO,3,21 A 24 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
187,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,2
188,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,6
189,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,21 A 24 ANOS,ENSINO MEDIO COMPLETO,6
190,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,21 A 24 ANOS,ENSINO MEDIO INCOMPLETO,2
191,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,21 A 24 ANOS,ENSINO MEDIO INCOMPLETO,2
192,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,21 A 24 ANOS,ENSINO MEDIO INCOMPLETO,4
193,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,1
194,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,10
195,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,21 A 24 ANOS,SUPERIOR INCOMPLETO,2
196,2010,ZZ,PARAGUAI,11444,1,FEMININO,4,25 A 34 ANOS,ENSINO FUNDAMENTAL COMPLETO,1
197,2010,ZZ,PARAGUAI,11444,1,FEMININO,4,25 A 34 ANOS,ENSINO FUNDAMENTAL COMPLETO,2
198,2010,ZZ,PARAGUAI,11444,1,FEMININO,3,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,1
199,2010,ZZ,PARAGUAI,11444,1,FEMININO,3,25 A 34 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,2
200,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,10
201,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,6
202,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,25 A 34 ANOS,ENSINO MEDIO COMPLETO,9
203,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,2
204,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,5
205,2010,ZZ,PARAGUAI,11444,1,FEMININO,5,25 A 34 ANOS,ENSINO MEDIO INCOMPLETO,6
206,2010,ZZ,PARAGUAI,11444,1,FEMININO,2,25 A 34 ANOS,LE E ESCREVE,1
207,2010,ZZ,PARAGUAI,11444,1,FEMININO,2,25 A 34 ANOS,LE E ESCREVE,1
208,2010,ZZ,PARAGUAI,11444,1,FEMININO,2,25 A 34 ANOS,LE E ESCREVE,2
209,2010,ZZ,PARAGUAI,11444,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,23
210,2010,ZZ,PARAGUAI,11444,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,5
211,2010,ZZ,PARAGUAI,11444,1,FEMININO,8,25 A 34 ANOS,SUPERIOR COMPLETO,5
212,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,15
213,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,17
214,2010,ZZ,PARAGUAI,11444,1,FEMININO,7,25 A 34 ANOS,SUPERIOR INCOMPLETO,23
215,2010,ZZ,PARAGUAI,11444,1,FEMININO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,3
216,2010,ZZ,PARAGUAI,11444,1,FEMININO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,3
217,2010,ZZ,PARAGUAI,11444,1,FEMININO,4,35 A 44 ANOS,ENSINO FUNDAMENTAL COMPLETO,5
218,2010,ZZ,PARAGUAI,11444,1,FEMININO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,2
219,2010,ZZ,PARAGUAI,11444,1,FEMININO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,2
220,2010,ZZ,PARAGUAI,11444,1,FEMININO,3,35 A 44 ANOS,ENSINO FUNDAMENTAL INCOMPLETO,5
221,2010,ZZ,PARAGUAI,11444,1,FEMININO,6,35 A 44 ANOS,ENSINO MEDIO COMPLETO,11
