,country,total
0,AFRICA DO SUL,1900
1,ANGOLA,15000
2,ARGELIA,30
3,BENIN,15
4,BOTSUANA,17
5,BURKINA FASO,45
6,CABO VERDE,410
7,CAMAROES,60
8,REPUBLICA DEMOCRATICA DO CONGO,240
9,REPUBLICA DO CONGO,80
10,COSTA DO MARFIM,130
11,EGITO,370
12,ETIOPIA,30
13,GABAO,25
14,GANA,200
15,GUINE,24
16,GUINE EQUATORIAL,370
17,GUINE BISSAU,553
18,LIBERIA,12
19,MALAWI,0
20,MALI,26
21,MARROCOS,209
22,MAURITANIA,6
23,MOCAMBIQUE,4500
24,NAMIBIA,170
25,NIGERIA,150
26,KENIA,150
27,SAO TOME E PRINCIPE,60
28,SENEGAL,120
29,SERRA LEOA,0
30,SUDAO,0
31,TANZANIA,85
32,TOGO,26
33,TUNISIA,65
34,ZAMBIA,18
35,ZIMBABUE,0
36,BAHAMAS,110
37,BARBADOS,60
38,BELIZE,37
39,COSTA RICA,1300
40,CUBA,750
41,EL SALVADOR,470
42,GRANADA,5
43,GUATEMALA,231
44,HAITI,300
45,HONDURAS,280
46,JAMAICA,230
47,NICARAGUA,500
48,PANAMA,2000
49,REPUBLICA DOMINICANA,1243
50,SANTA LUCIA,10
51,SAO CRISTOVAO E NEVIS,6
52,SAO VICENTE E GRANADINAS,3
53,TRINIDAD TOBAGO,260
54,CANADA,39300
55,ESTADOS UNIDOS,1315000
56,MEXICO,14000
57,ARGENTINA,47045
58,BOLIVIA,28546
59,CHILE,12000
60,COLOMBIA,17000
61,EQUADOR,3030
62,GUIANA,17000
63,GUIANA FRANCESA,38700
64,PARAGUAI,349842
65,PERU,2805
66,SURINAME,15000
67,URUGUAI,15551
68,VENEZUELA,15433
69,AZERBAIJAO,30
70,BANGLADESH,29
71,CAZAQUISTAO,45
72,CHINA,16700
73,CINGAPURA,1000
74,COREIA DO NORTE,0
75,COREIA,950
76,FILIPINAS,300
77,INDIA,235
78,INDONESIA,700
79,JAPAO,179649
80,MALASIA,300
81,MYANMAR,20
82,NEPAL,30
83,PAQUISTAO,49
84,SRI LANKA,25
85,TAILANDIA,400
86,TAIWAN,907
87,TIMOR-LESTE,144
88,VIETNA,55
89,ALBANIA,60
90,ALEMANHA,113716
91,ARMENIA,3
92,AUSTRIA,4729
93,BELARUS,10
94,BELGICA,48000
95,BOSNIA-HERZEGOVINA,25
96,BULGARIA,57
97,CHIPRE,150
98,CROACIA,203
99,DINAMARCA,3206
100,ESLOVENIA,135
101,ESPANHA,128638
102,ESTONIA,40
103,FINLANDIA,870
104,FRANCA,70000
105,GEORGIA,20
106,GRECIA,3000
107,HUNGRIA,1050
108,IRLANDA,15156
109,ITALIA,69000
110,NORUEGA,7690
111,PAISES BAIXOS,21948
112,POLONIA,1500
113,PORTUGAL,166775
114,INGLATERRA,120000
115,REPUBLICA ESLOVACA,158
116,REPUBLICA CHECA,590
117,ROMENIA,130
118,RUSSIA,1000
119,SERVIA,178
120,SUECIA,6000
121,SUICA,81000
122,TURQUIA,550
123,URCANIA,85
124,VATICANO,9
125,AUSTRALIA,27000
126,NOVA ZELANDIA,5600
127,ARABIA SAUDITA,600
128,CATAR,1000
129,EMIRADOS ARABES,9000
130,IRA,130
131,IRAQUE,100
132,ISRAEL,10000
133,JORDANIA,2100
134,KUWAIT,300
135,LIBANO,15000
136,OMA,400
137,PALESTINA,4300
