,election_year,place_(zz_=_exterior),municipality_code,municipality_name,gender_code,gender_description,marital_status_code,marital_status_description,age_group_code,age_group_description,educational_attainment_code,educational_attainment_description,quantity_of_voters
0,2018,ZZ,0,NEPAL,2,MASCULINO,3,CASADO,4549,45 A 59 ANOS,6,ENSINO MEDIO COMPLETO,1
1,2018,ZZ,0,NEPAL,4,FEMININO,1,SOLTEIRO,5559,45 A 59 ANOS,8,SUPERIOR COMPLETO,1
2,2018,ZZ,0,NEPAL,4,FEMININO,3,CASADO,2529,25 A 34 ANOS,8,SUPERIOR COMPLETO,1
3,2018,ZZ,98582,COSTA DO MARFIM,2,MASCULINO,3,CASADO,6064,60 A 69 ANOS,8,SUPERIOR COMPLETO,2
4,2018,ZZ,98582,COSTA DO MARFIM,2,MASCULINO,3,CASADO,6569,60 A 69 ANOS,5,ENSINO MEDIO INCOMPLETO,1
5,2018,ZZ,98582,COSTA DO MARFIM,4,FEMININO,1,SOLTEIRO,3034,25 A 34 ANOS,6,ENSINO MEDIO COMPLETO,1
6,2018,ZZ,98582,COSTA DO MARFIM,4,FEMININO,1,SOLTEIRO,3539,35 A 44 ANOS,8,SUPERIOR COMPLETO,1
7,2018,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,1,SOLTEIRO,2529,25 A 34 ANOS,7,SUPERIOR INCOMPLETO,14
8,2018,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,1,SOLTEIRO,3034,25 A 34 ANOS,8,SUPERIOR COMPLETO,44
9,2018,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,1,SOLTEIRO,3539,35 A 44 ANOS,4,ENSINO FUNDAMENTAL COMPLETO,2
10,2018,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,3,CASADO,4549,45 A 59 ANOS,6,ENSINO MEDIO COMPLETO,12
11,2018,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,3,CASADO,5559,45 A 59 ANOS,6,ENSINO MEDIO COMPLETO,3
12,2018,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,9,DIVORCIADO,6064,60 A 69 ANOS,8,SUPERIOR COMPLETO,3
13,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,1,SOLTEIRO,1900,18 A 20 ANOS,5,ENSINO MEDIO INCOMPLETO,2
14,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,1,SOLTEIRO,2124,21 A 24 ANOS,6,ENSINO MEDIO COMPLETO,9
15,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,1,SOLTEIRO,3034,25 A 34 ANOS,5,ENSINO MEDIO INCOMPLETO,3
16,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,1,SOLTEIRO,3539,35 A 44 ANOS,8,SUPERIOR COMPLETO,44
17,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,1,SOLTEIRO,4044,35 A 44 ANOS,6,ENSINO MEDIO COMPLETO,4
18,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,1,SOLTEIRO,4549,45 A 59 ANOS,6,ENSINO MEDIO COMPLETO,1
19,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,3,CASADO,3034,25 A 34 ANOS,3,ENSINO FUNDAMENTAL INCOMPLETO,2
20,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,3,CASADO,3034,25 A 34 ANOS,5,ENSINO MEDIO INCOMPLETO,2
21,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,3,CASADO,4549,45 A 59 ANOS,5,ENSINO MEDIO INCOMPLETO,1
22,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,3,CASADO,8084,SUPERIOR A 79 ANOS,8,SUPERIOR COMPLETO,1
23,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,9,DIVORCIADO,4044,35 A 44 ANOS,7,SUPERIOR INCOMPLETO,1
24,2018,ZZ,98728,EMIRADOS ARABES,4,FEMININO,9,DIVORCIADO,4549,45 A 59 ANOS,7,SUPERIOR INCOMPLETO,4
25,2018,ZZ,98043,GANA,2,MASCULINO,3,CASADO,3539,35 A 44 ANOS,8,SUPERIOR COMPLETO,2
26,2018,ZZ,98043,GANA,4,FEMININO,3,CASADO,4044,35 A 44 ANOS,8,SUPERIOR COMPLETO,1
27,2018,ZZ,98043,GANA,4,FEMININO,3,CASADO,5559,45 A 59 ANOS,8,SUPERIOR COMPLETO,1
28,2018,ZZ,98043,GANA,4,FEMININO,3,CASADO,7074,70 A 79 ANOS,6,ENSINO MEDIO COMPLETO,1
