Election Year,Election Round,Place (ZZ = Exterior),Municipality Code,Municipality Name,Office,Party Number,Party Initials,Party Name,Number of Votes
ANO_ELEICAO,NR_TURNO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,DS_CARGO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS
2014,1,ZZ,30155,MONTREAL,Presidente,13,PT,Partido dos Trabalhadores,358
2014,1,ZZ,30120,MILÃO,Presidente,13,PT,Partido dos Trabalhadores,979
2014,1,ZZ,30082,MANILA,Presidente,13,PT,Partido dos Trabalhadores,11
2014,1,ZZ,29459,BUDAPESTE,Presidente,13,PT,Partido dos Trabalhadores,17
2014,1,ZZ,29548,SINGAPURA,Presidente,13,PT,Partido dos Trabalhadores,4
2014,1,ZZ,30457,AMSTERDÃ,Presidente,13,PT,Partido dos Trabalhadores,316
2014,1,ZZ,29262,ABU DHABI,Presidente,13,PT,Partido dos Trabalhadores,15
2014,1,ZZ,30325,PORT OF SPAIN,Presidente,13,PT,Partido dos Trabalhadores,1
2014,1,ZZ,30724,UEDA-JAPA,Presidente,13,PT,Partido dos Trabalhadores,79
2014,1,ZZ,29653,DOHA,Presidente,13,PT,Partido dos Trabalhadores,13
2014,1,ZZ,30643,TOYOHASHI-JAPA,Presidente,13,PT,Partido dos Trabalhadores,108
2014,1,ZZ,30090,MAPUTO,Presidente,13,PT,Partido dos Trabalhadores,94
2014,1,ZZ,29807,HOUSTON,Presidente,13,PT,Partido dos Trabalhadores,177
2014,1,ZZ,30554,SUZUKA-JAPA,Presidente,13,PT,Partido dos Trabalhadores,118
2014,1,ZZ,39322,NICOSIA,Presidente,13,PT,Partido dos Trabalhadores,9
2014,1,ZZ,29955,LISBOA,Presidente,13,PT,Partido dos Trabalhadores,1433
2014,1,ZZ,30139,MITSUKAIDO-JAPA,Presidente,13,PT,Partido dos Trabalhadores,147
2014,1,ZZ,29670,ENCARNACIÓN,Presidente,13,PT,Partido dos Trabalhadores,51
2014,1,ZZ,39020,ZAGREB,Presidente,13,PT,Partido dos Trabalhadores,3
2014,1,ZZ,30449,ROMA,Presidente,13,PT,Partido dos Trabalhadores,647
2014,1,ZZ,29947,LIMA,Presidente,13,PT,Partido dos Trabalhadores,110
2014,1,ZZ,30341,PORTO,Presidente,13,PT,Partido dos Trabalhadores,1263
2014,1,ZZ,29432,BRUXELAS,Presidente,13,PT,Partido dos Trabalhadores,299
2014,1,ZZ,29556,CIUDAD DEL ESTE,Presidente,13,PT,Partido dos Trabalhadores,485
2014,1,ZZ,29335,ATENAS,Presidente,13,PT,Partido dos Trabalhadores,50
2014,1,ZZ,30414,RAMALLAH,Presidente,13,PT,Partido dos Trabalhadores,315
2014,1,ZZ,29696,FRANKFURT,Presidente,13,PT,Partido dos Trabalhadores,404
2014,1,ZZ,29378,BELGRADO,Presidente,13,PT,Partido dos Trabalhadores,5
2014,1,ZZ,30368,PRAIA,Presidente,13,PT,Partido dos Trabalhadores,22
2014,1,ZZ,30821,WINDHOEK,Presidente,13,PT,Partido dos Trabalhadores,10
2014,1,ZZ,29408,BOGOTÁ,Presidente,13,PT,Partido dos Trabalhadores,117
2014,1,ZZ,30244,OSLO,Presidente,13,PT,Partido dos Trabalhadores,86
2014,1,ZZ,30767,VIENA,Presidente,13,PT,Partido dos Trabalhadores,127
2014,1,ZZ,30589,TAKAOKA-JAPA,Presidente,13,PT,Partido dos Trabalhadores,37
2014,1,ZZ,29777,HAVANA,Presidente,13,PT,Partido dos Trabalhadores,84
2014,1,ZZ,30252,OTTAWA,Presidente,13,PT,Partido dos Trabalhadores,90
2014,1,ZZ,29475,CAIENA,Presidente,13,PT,Partido dos Trabalhadores,759
2014,1,ZZ,30503,SÃO FRANCISCO,Presidente,13,PT,Partido dos Trabalhadores,283
2014,1,ZZ,29688,ESTOCOLMO,Presidente,13,PT,Partido dos Trabalhadores,208
2014,1,ZZ,30236,OIZUMI-JAPA,Presidente,13,PT,Partido dos Trabalhadores,382
2014,1,ZZ,30260,PANAMA,Presidente,13,PT,Partido dos Trabalhadores,92
2014,1,ZZ,29998,LUANDA,Presidente,13,PT,Partido dos Trabalhadores,32
2014,1,ZZ,30961,FARO,Presidente,13,PT,Partido dos Trabalhadores,99
2014,1,ZZ,29793,HONG KONG,Presidente,13,PT,Partido dos Trabalhadores,21
2014,1,ZZ,39063,VANCOUVER,Presidente,13,PT,Partido dos Trabalhadores,92
2014,1,ZZ,29742,HAMAMATSU,Presidente,13,PT,Partido dos Trabalhadores,238
2014,1,ZZ,29610,DACAR,Presidente,13,PT,Partido dos Trabalhadores,15
2014,1,ZZ,29726,GUATEMALA-GUAT,Presidente,13,PT,Partido dos Trabalhadores,24
2014,1,ZZ,29513,CHICAGO,Presidente,13,PT,Partido dos Trabalhadores,150
2014,1,ZZ,29980,LOS ANGELES,Presidente,13,PT,Partido dos Trabalhadores,195
2014,1,ZZ,30600,TEGUCIGALPA,Presidente,13,PT,Partido dos Trabalhadores,40
2014,1,ZZ,30597,TEERÃ,Presidente,13,PT,Partido dos Trabalhadores,4
2014,1,ZZ,30783,WASHINGTON,Presidente,13,PT,Partido dos Trabalhadores,389
2014,1,ZZ,30228,NOVA YORK,Presidente,13,PT,Partido dos Trabalhadores,1015
2014,1,ZZ,29386,BERLIM,Presidente,13,PT,Partido dos Trabalhadores,352
2014,1,ZZ,30422,RIADE,Presidente,13,PT,Partido dos Trabalhadores,2
2014,1,ZZ,29700,GENEBRA,Presidente,13,PT,Partido dos Trabalhadores,403
2014,1,ZZ,29394,BISSAU,Presidente,13,PT,Partido dos Trabalhadores,15
2014,1,ZZ,29971,LONDRES,Presidente,13,PT,Partido dos Trabalhadores,924
2014,1,ZZ,30333,PORTO PRÍNCIPE,Presidente,13,PT,Partido dos Trabalhadores,11
2014,1,ZZ,30864,ZURIQUE,Presidente,13,PT,Partido dos Trabalhadores,718
2014,1,ZZ,30074,MANÁGUA,Presidente,13,PT,Partido dos Trabalhadores,22
2014,1,ZZ,29645,DÍLI,Presidente,13,PT,Partido dos Trabalhadores,6
2014,1,ZZ,30163,MOSCOU,Presidente,13,PT,Partido dos Trabalhadores,8
2014,1,ZZ,29530,CIDADE DO CABO,Presidente,13,PT,Partido dos Trabalhadores,22
2014,1,ZZ,29289,AMÃ,Presidente,13,PT,Partido dos Trabalhadores,106
2014,1,ZZ,29602,CÓRDOBA,Presidente,13,PT,Partido dos Trabalhadores,122
2014,1,ZZ,30805,WELLINGTON,Presidente,13,PT,Partido dos Trabalhadores,13
2014,1,ZZ,29874,KINSHASA,Presidente,13,PT,Partido dos Trabalhadores,7
2014,1,ZZ,30112,MIAMI,Presidente,13,PT,Partido dos Trabalhadores,460
2014,1,ZZ,29505,CARACAS,Presidente,13,PT,Partido dos Trabalhadores,210
2014,1,ZZ,29840,JACARTA,Presidente,13,PT,Partido dos Trabalhadores,2
2014,1,ZZ,30473,SANTA CRUZ DE LA SIERRA,Presidente,13,PT,Partido dos Trabalhadores,200
2014,1,ZZ,30635,TORONTO,Presidente,13,PT,Partido dos Trabalhadores,395
2014,1,ZZ,30520,SÃO SALVADOR,Presidente,13,PT,Partido dos Trabalhadores,16
2014,1,ZZ,30902,HARTFORD,Presidente,13,PT,Partido dos Trabalhadores,89
2014,1,ZZ,39004,MENDOZA,Presidente,13,PT,Partido dos Trabalhadores,44
2014,1,ZZ,39080,ATLANTA,Presidente,13,PT,Partido dos Trabalhadores,175
2014,1,ZZ,29882,KUAITE,Presidente,13,PT,Partido dos Trabalhadores,4
2014,1,ZZ,29440,BUCARESTE,Presidente,13,PT,Partido dos Trabalhadores,4
2014,1,ZZ,29327,ASSUNÇÃO,Presidente,13,PT,Partido dos Trabalhadores,209
2014,1,ZZ,30210,NOVA DELHI,Presidente,13,PT,Partido dos Trabalhadores,1
2014,1,ZZ,30317,PEQUIM,Presidente,13,PT,Partido dos Trabalhadores,10
2014,1,ZZ,30627,TÓQUIO,Presidente,13,PT,Partido dos Trabalhadores,508
2014,1,ZZ,30848,XANGAI,Presidente,13,PT,Partido dos Trabalhadores,23
2014,1,ZZ,29343,BANGKOK,Presidente,13,PT,Partido dos Trabalhadores,5
2014,1,ZZ,30201,NAIRÓBI,Presidente,13,PT,Partido dos Trabalhadores,14
2014,1,ZZ,30490,SÃO DOMINGOS,Presidente,13,PT,Partido dos Trabalhadores,89
2014,1,ZZ,30511,SÃO JOSÉ,Presidente,13,PT,Partido dos Trabalhadores,50
2014,1,ZZ,29785,HELSINQUE,Presidente,13,PT,Partido dos Trabalhadores,24
2014,1,ZZ,29890,KUALA LUMPUR,Presidente,13,PT,Partido dos Trabalhadores,4
2014,1,ZZ,30376,PRETÓRIA,Presidente,13,PT,Partido dos Trabalhadores,34
2014,1,ZZ,30104,MEXICO,Presidente,13,PT,Partido dos Trabalhadores,191
2014,1,ZZ,39160,LIUBLIANA,Presidente,13,PT,Partido dos Trabalhadores,7
2014,1,ZZ,30562,SYDNEY,Presidente,13,PT,Partido dos Trabalhadores,114
2014,1,ZZ,29351,BARCELONA,Presidente,13,PT,Partido dos Trabalhadores,217
2014,1,ZZ,30570,TAIPÉ,Presidente,13,PT,Partido dos Trabalhadores,17
2014,1,ZZ,30279,PARAMARIBO,Presidente,13,PT,Partido dos Trabalhadores,200
2014,1,ZZ,29319,ARTIGAS,Presidente,13,PT,Partido dos Trabalhadores,104
2014,1,ZZ,29483,CAIRO,Presidente,13,PT,Partido dos Trabalhadores,20
2014,1,ZZ,29254,ABIDJÃ,Presidente,13,PT,Partido dos Trabalhadores,34
2014,1,ZZ,29904,LA PAZ,Presidente,13,PT,Partido dos Trabalhadores,38
2014,1,ZZ,30538,SEUL,Presidente,13,PT,Partido dos Trabalhadores,2
2014,1,ZZ,29599,COPENHAGUE,Presidente,13,PT,Partido dos Trabalhadores,91
2014,1,ZZ,30392,QUITO,Presidente,13,PT,Partido dos Trabalhadores,73
2014,1,ZZ,29572,COCHABAMBA,Presidente,13,PT,Partido dos Trabalhadores,33
2014,1,ZZ,29564,CIUDAD GUAYANA,Presidente,13,PT,Partido dos Trabalhadores,10
2014,1,ZZ,29866,KINGSTON-JAMA,Presidente,13,PT,Partido dos Trabalhadores,3
2014,1,ZZ,29912,LAGOS,Presidente,13,PT,Partido dos Trabalhadores,2
2014,1,ZZ,39306,ISTAMBUL,Presidente,13,PT,Partido dos Trabalhadores,2
2014,1,ZZ,29718,GEORGETOWN,Presidente,13,PT,Partido dos Trabalhadores,34
