Election Year,Election Round,Place (ZZ = Exterior),Municipality Code,Municipality Name,Office,Party Number,Party Initials,Party Name,Number of Votes
2014,1,ZZ,30180,MUNIQUE,Presidente,13,PT,Partido dos Trabalhadores,585
2014,1,ZZ,29580,CONCEPCIÓN,Presidente,13,PT,Partido dos Trabalhadores,3
2014,1,ZZ,30740,VARSÓVIA,Presidente,13,PT,Partido dos Trabalhadores,13
2014,1,ZZ,30465,SALTO DEL GUAIRÁ,Presidente,13,PT,Partido dos Trabalhadores,42
2014,1,ZZ,30481,SANTIAGO,Presidente,13,PT,Partido dos Trabalhadores,219
2014,1,ZZ,29467,BUENOS AIRES,Presidente,13,PT,Partido dos Trabalhadores,949
2014,1,ZZ,30198,NAGÓIA,Presidente,13,PT,Partido dos Trabalhadores,590
2014,1,ZZ,30309,PEDRO JUAN CABALLERO,Presidente,13,PT,Partido dos Trabalhadores,59
2014,1,ZZ,29416,BOSTON,Presidente,13,PT,Partido dos Trabalhadores,1036
2014,1,ZZ,30147,MONTEVIDÉU,Presidente,13,PT,Partido dos Trabalhadores,347
2014,1,ZZ,30406,RABAT,Presidente,13,PT,Partido dos Trabalhadores,4
2014,1,ZZ,30619,TEL AVIV,Presidente,13,PT,Partido dos Trabalhadores,15
2014,1,ZZ,30287,PARIS,Presidente,13,PT,Partido dos Trabalhadores,961
2014,1,ZZ,30350,PRAGA,Presidente,13,PT,Partido dos Trabalhadores,16
2014,1,ZZ,30708,TUNIS,Presidente,13,PT,Partido dos Trabalhadores,1
2014,1,ZZ,30066,MADRI,Presidente,13,PT,Partido dos Trabalhadores,508
2014,1,ZZ,29360,BEIRUTE,Presidente,13,PT,Partido dos Trabalhadores,316
2014,1,ZZ,29491,CAMBERRA,Presidente,13,PT,Partido dos Trabalhadores,37
2014,1,ZZ,29661,DUBLIN,Presidente,13,PT,Partido dos Trabalhadores,37
2014,1,ZZ,30422,RIADE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,8
2014,1,ZZ,29874,KINSHASA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,7
2014,1,ZZ,30457,AMSTERDÃ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,679
2014,1,ZZ,39306,ISTAMBUL,Presidente,45,PSDB,Partido da Social Democracia Brasileira,15
2014,1,ZZ,29653,DOHA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,93
2014,1,ZZ,30554,SUZUKA-JAPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,899
2014,1,ZZ,30619,TEL AVIV,Presidente,45,PSDB,Partido da Social Democracia Brasileira,142
2014,1,ZZ,30589,TAKAOKA-JAPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,92
2014,1,ZZ,29335,ATENAS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,177
2014,1,ZZ,30392,QUITO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,146
2014,1,ZZ,30520,SÃO SALVADOR,Presidente,45,PSDB,Partido da Social Democracia Brasileira,47
2014,1,ZZ,29572,COCHABAMBA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,51
2014,1,ZZ,29912,LAGOS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,7
2014,1,ZZ,30805,WELLINGTON,Presidente,45,PSDB,Partido da Social Democracia Brasileira,37
2014,1,ZZ,30198,NAGÓIA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,3553
2014,1,ZZ,30740,VARSÓVIA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,21
2014,1,ZZ,30236,OIZUMI-JAPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,2069
2014,1,ZZ,29700,GENEBRA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,829
2014,1,ZZ,30848,XANGAI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,115
2014,1,ZZ,30244,OSLO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,128
2014,1,ZZ,29408,BOGOTÁ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,171
2014,1,ZZ,29416,BOSTON,Presidente,45,PSDB,Partido da Social Democracia Brasileira,3450
2014,1,ZZ,30112,MIAMI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,5074
2014,1,ZZ,29866,KINGSTON-JAMA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,3
2014,1,ZZ,29432,BRUXELAS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,455
2014,1,ZZ,30228,NOVA YORK,Presidente,45,PSDB,Partido da Social Democracia Brasileira,4814
2014,1,ZZ,39160,LIUBLIANA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,5
2014,1,ZZ,30767,VIENA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,231
2014,1,ZZ,29840,JACARTA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,10
2014,1,ZZ,29564,CIUDAD GUAYANA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,41
2014,1,ZZ,29610,DACAR,Presidente,45,PSDB,Partido da Social Democracia Brasileira,8
2014,1,ZZ,29556,CIUDAD DEL ESTE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1290
2014,1,ZZ,29645,DÍLI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,7
2014,1,ZZ,29971,LONDRES,Presidente,45,PSDB,Partido da Social Democracia Brasileira,2573
2014,1,ZZ,30465,SALTO DEL GUAIRÁ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,115
2014,1,ZZ,29378,BELGRADO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,11
2014,1,ZZ,29696,FRANKFURT,Presidente,45,PSDB,Partido da Social Democracia Brasileira,729
2014,1,ZZ,30309,PEDRO JUAN CABALLERO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,114
2014,1,ZZ,30082,MANILA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,13
2014,1,ZZ,29602,CÓRDOBA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,80
2014,1,ZZ,30287,PARIS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1170
2014,1,ZZ,30201,NAIRÓBI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,10
2014,1,ZZ,29807,HOUSTON,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1327
2014,1,ZZ,29661,DUBLIN,Presidente,45,PSDB,Partido da Social Democracia Brasileira,118
2014,1,ZZ,30325,PORT OF SPAIN,Presidente,45,PSDB,Partido da Social Democracia Brasileira,5
2014,1,ZZ,39080,ATLANTA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1174
2014,1,ZZ,29483,CAIRO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,19
2014,1,ZZ,29980,LOS ANGELES,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1341
2014,1,ZZ,30066,MADRI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,916
2014,1,ZZ,29904,LA PAZ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,72
2014,1,ZZ,30368,PRAIA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,3
2014,1,ZZ,30490,SÃO DOMINGOS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,77
2014,1,ZZ,30643,TOYOHASHI-JAPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,641
2014,1,ZZ,30180,MUNIQUE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1167
2014,1,ZZ,30600,TEGUCIGALPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,42
2014,1,ZZ,29394,BISSAU,Presidente,45,PSDB,Partido da Social Democracia Brasileira,4
2014,1,ZZ,29777,HAVANA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,8
2014,1,ZZ,29513,CHICAGO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,882
2014,1,ZZ,30562,SYDNEY,Presidente,45,PSDB,Partido da Social Democracia Brasileira,697
2014,1,ZZ,29440,BUCARESTE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,4
2014,1,ZZ,29718,GEORGETOWN,Presidente,45,PSDB,Partido da Social Democracia Brasileira,26
2014,1,ZZ,30333,PORTO PRÍNCIPE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,5
2014,1,ZZ,39063,VANCOUVER,Presidente,45,PSDB,Partido da Social Democracia Brasileira,512
2014,1,ZZ,30597,TEERÃ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,6
2014,1,ZZ,30627,TÓQUIO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,2211
2014,1,ZZ,39004,MENDOZA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,23
2014,1,ZZ,30961,FARO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,127
2014,1,ZZ,30155,MONTREAL,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1248
2014,1,ZZ,30104,MEXICO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,459
2014,1,ZZ,29890,KUALA LUMPUR,Presidente,45,PSDB,Partido da Social Democracia Brasileira,15
2014,1,ZZ,30260,PANAMA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,234
2014,1,ZZ,29467,BUENOS AIRES,Presidente,45,PSDB,Partido da Social Democracia Brasileira,890
2014,1,ZZ,29360,BEIRUTE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,414
2014,1,ZZ,30341,PORTO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1642
2014,1,ZZ,29254,ABIDJÃ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,5
2014,1,ZZ,29785,HELSINQUE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,83
2014,1,ZZ,29793,HONG KONG,Presidente,45,PSDB,Partido da Social Democracia Brasileira,65
2014,1,ZZ,29955,LISBOA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1953
2014,1,ZZ,29351,BARCELONA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,332
2014,1,ZZ,30350,PRAGA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,40
2014,1,ZZ,29726,GUATEMALA-GUAT,Presidente,45,PSDB,Partido da Social Democracia Brasileira,40
2014,1,ZZ,30139,MITSUKAIDO-JAPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,780
2014,1,ZZ,30449,ROMA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,934
2014,1,ZZ,30252,OTTAWA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,287
2014,1,ZZ,30821,WINDHOEK,Presidente,45,PSDB,Partido da Social Democracia Brasileira,6
2014,1,ZZ,29491,CAMBERRA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,133
2014,1,ZZ,29548,SINGAPURA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,85
2014,1,ZZ,30473,SANTA CRUZ DE LA SIERRA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,526
2014,1,ZZ,29530,CIDADE DO CABO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,37
2014,1,ZZ,29688,ESTOCOLMO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,297
2014,1,ZZ,30090,MAPUTO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,66
2014,1,ZZ,30538,SEUL,Presidente,45,PSDB,Partido da Social Democracia Brasileira,11
2014,1,ZZ,30864,ZURIQUE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1425
2014,1,ZZ,29327,ASSUNÇÃO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,492
2014,1,ZZ,30120,MILÃO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1613
2014,1,ZZ,29882,KUAITE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,9
2014,1,ZZ,30147,MONTEVIDÉU,Presidente,45,PSDB,Partido da Social Democracia Brasileira,351
2014,1,ZZ,29580,CONCEPCIÓN,Presidente,45,PSDB,Partido da Social Democracia Brasileira,10
2014,1,ZZ,30902,HARTFORD,Presidente,45,PSDB,Partido da Social Democracia Brasileira,332
2014,1,ZZ,30074,MANÁGUA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,25
2014,1,ZZ,30511,SÃO JOSÉ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,122
2014,1,ZZ,30503,SÃO FRANCISCO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1402
2014,1,ZZ,29670,ENCARNACIÓN,Presidente,45,PSDB,Partido da Social Democracia Brasileira,42
2014,1,ZZ,30414,RAMALLAH,Presidente,45,PSDB,Partido da Social Democracia Brasileira,44
2014,1,ZZ,29475,CAIENA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,369
2014,1,ZZ,29742,HAMAMATSU,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1400
2014,1,ZZ,30708,TUNIS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,10
2014,1,ZZ,30163,MOSCOU,Presidente,45,PSDB,Partido da Social Democracia Brasileira,12
2014,1,ZZ,30783,WASHINGTON,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1996
2014,1,ZZ,29998,LUANDA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,29
2014,1,ZZ,30481,SANTIAGO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,636
2014,1,ZZ,29262,ABU DHABI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,92
2014,1,ZZ,29289,AMÃ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,37
2014,1,ZZ,29947,LIMA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,230
2014,1,ZZ,29297,ANCARA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,7
2014,1,ZZ,30210,NOVA DELHI,Presidente,45,PSDB,Partido da Social Democracia Brasileira,4
2014,1,ZZ,30317,PEQUIM,Presidente,45,PSDB,Partido da Social Democracia Brasileira,22
2014,1,ZZ,30724,UEDA-JAPA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,510
2014,1,ZZ,30406,RABAT,Presidente,45,PSDB,Partido da Social Democracia Brasileira,3
2014,1,ZZ,30279,PARAMARIBO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,181
2014,1,ZZ,30570,TAIPÉ,Presidente,45,PSDB,Partido da Social Democracia Brasileira,64
2014,1,ZZ,29319,ARTIGAS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,58
2014,1,ZZ,29459,BUDAPESTE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,41
2014,1,ZZ,29505,CARACAS,Presidente,45,PSDB,Partido da Social Democracia Brasileira,339
2014,1,ZZ,29599,COPENHAGUE,Presidente,45,PSDB,Partido da Social Democracia Brasileira,115
2014,1,ZZ,29343,BANGKOK,Presidente,45,PSDB,Partido da Social Democracia Brasileira,28
2014,1,ZZ,39322,NICOSIA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,12
2014,1,ZZ,29386,BERLIM,Presidente,45,PSDB,Partido da Social Democracia Brasileira,444
2014,1,ZZ,39020,ZAGREB,Presidente,45,PSDB,Partido da Social Democracia Brasileira,14
2014,1,ZZ,30635,TORONTO,Presidente,45,PSDB,Partido da Social Democracia Brasileira,1658
2014,1,ZZ,30376,PRETÓRIA,Presidente,45,PSDB,Partido da Social Democracia Brasileira,57
2014,1,ZZ,29610,DACAR,Presidente,40,PSB,Partido Socialista Brasileiro,19
2014,1,ZZ,29556,CIUDAD DEL ESTE,Presidente,40,PSB,Partido Socialista Brasileiro,136
2014,1,ZZ,30376,PRETÓRIA,Presidente,40,PSB,Partido Socialista Brasileiro,47
2014,1,ZZ,29491,CAMBERRA,Presidente,40,PSB,Partido Socialista Brasileiro,65
2014,1,ZZ,30120,MILÃO,Presidente,40,PSB,Partido Socialista Brasileiro,1289
2014,1,ZZ,29335,ATENAS,Presidente,40,PSB,Partido Socialista Brasileiro,77
2014,1,ZZ,30333,PORTO PRÍNCIPE,Presidente,40,PSB,Partido Socialista Brasileiro,1
2014,1,ZZ,30864,ZURIQUE,Presidente,40,PSB,Partido Socialista Brasileiro,1312
2014,1,ZZ,29793,HONG KONG,Presidente,40,PSB,Partido Socialista Brasileiro,22
2014,1,ZZ,30481,SANTIAGO,Presidente,40,PSB,Partido Socialista Brasileiro,243
2014,1,ZZ,29360,BEIRUTE,Presidente,40,PSB,Partido Socialista Brasileiro,94
2014,1,ZZ,29394,BISSAU,Presidente,40,PSB,Partido Socialista Brasileiro,19
2014,1,ZZ,30244,OSLO,Presidente,40,PSB,Partido Socialista Brasileiro,132
2014,1,ZZ,29351,BARCELONA,Presidente,40,PSB,Partido Socialista Brasileiro,236
2014,1,ZZ,29408,BOGOTÁ,Presidente,40,PSB,Partido Socialista Brasileiro,57
2014,1,ZZ,30350,PRAGA,Presidente,40,PSB,Partido Socialista Brasileiro,14
2014,1,ZZ,30767,VIENA,Presidente,40,PSB,Partido Socialista Brasileiro,189
2014,1,ZZ,29696,FRANKFURT,Presidente,40,PSB,Partido Socialista Brasileiro,579
2014,1,ZZ,30198,NAGÓIA,Presidente,40,PSB,Partido Socialista Brasileiro,1528
2014,1,ZZ,30627,TÓQUIO,Presidente,40,PSB,Partido Socialista Brasileiro,737
2014,1,ZZ,29980,LOS ANGELES,Presidente,40,PSB,Partido Socialista Brasileiro,393
