Election Year,Election Round,Place (ZZ = Exterior),Municipality Code,Municipality Name,Office,Party Number,Party Initials,Party Name,Number of Votes
ANO_ELEICAO,NR_TURNO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,DS_CARGO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS
2018,1,ZZ,39080,ATLANTA,Presidente,17,PSL,Partido Social Liberal,2609
2018,1,ZZ,30848,XANGAI,Presidente,17,PSL,Partido Social Liberal,103
2018,1,ZZ,29483,CAIRO,Presidente,17,PSL,Partido Social Liberal,21
2018,1,ZZ,29521,CHUY,Presidente,17,PSL,Partido Social Liberal,8
2018,1,ZZ,29378,BELGRADO,Presidente,17,PSL,Partido Social Liberal,12
2018,1,ZZ,30090,MAPUTO,Presidente,17,PSL,Partido Social Liberal,162
2018,1,ZZ,30490,SÃO DOMINGOS,Presidente,17,PSL,Partido Social Liberal,148
2018,1,ZZ,30457,ROTTERDÃ,Presidente,17,PSL,Partido Social Liberal,726
2018,1,ZZ,30821,WINDHOEK,Presidente,17,PSL,Partido Social Liberal,8
2018,1,ZZ,29491,CAMBERRA,Presidente,17,PSL,Partido Social Liberal,409
2018,1,ZZ,29661,DUBLIN,Presidente,17,PSL,Partido Social Liberal,366
2018,1,ZZ,30392,QUITO,Presidente,17,PSL,Partido Social Liberal,214
2018,1,ZZ,29904,LA PAZ,Presidente,50,PSOL,Partido Socialismo e Liberdade,5
2018,1,ZZ,29807,HOUSTON,Presidente,50,PSOL,Partido Socialismo e Liberdade,13
2018,1,ZZ,30708,TUNIS,Presidente,50,PSOL,Partido Socialismo e Liberdade,3
2018,1,ZZ,29599,COPENHAGUE-DINA,Presidente,50,PSOL,Partido Socialismo e Liberdade,16
2018,1,ZZ,30112,MIAMI,Presidente,50,PSOL,Partido Socialismo e Liberdade,17
2018,1,ZZ,29971,LONDRES,Presidente,17,PSL,Partido Social Liberal,4797
2018,1,ZZ,29467,BUENOS AIRES,Presidente,17,PSL,Partido Social Liberal,1120
2018,2,ZZ,30279,PARAMARIBO,Presidente,13,PT,Partido dos Trabalhadores,122
2018,2,ZZ,29882,KUAITE,Presidente,13,PT,Partido dos Trabalhadores,21
2018,2,ZZ,99430,KINGSTON-JAMAICA,Presidente,13,PT,Partido dos Trabalhadores,3
2018,1,ZZ,30325,PORT OF SPAIN,Presidente,17,PSL,Partido Social Liberal,23
2018,1,ZZ,29858,KIEV,Presidente,17,PSL,Partido Social Liberal,17
2018,1,ZZ,30317,PEQUIM,Presidente,19,PODE,Podemos,2
2018,1,ZZ,29599,COPENHAGUE-DINA,Presidente,19,PODE,Podemos,5
2018,1,ZZ,30112,MIAMI,Presidente,19,PODE,Podemos,56
2018,1,ZZ,30848,XANGAI,Presidente,19,PODE,Podemos,7
2018,1,ZZ,39004,MENDOZA,Presidente,50,PSOL,Partido Socialismo e Liberdade,2
