Election Year,Place (ZZ = Exterior),Municipality Code,Municipality Name,Gender Code,Gender Description,Marital Status Code,Marital Status Description,Age Group Code,Age Group Description,Educational Attainment Code,Educational Attainment Description,Quantity of Voters
ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL
1998,ZZ,29238,HUNGRIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,27
1998,ZZ,11266,ESTADOS UNIDOS,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,5230
1998,ZZ,11223,EQUADOR,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,112
1998,ZZ,98302,PAQUISTAO,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,6
1998,ZZ,98248,SENEGAL,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,20
1998,ZZ,98248,SENEGAL,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,44
1998,ZZ,98345,NORUEGA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,31
1998,ZZ,11487,POLONIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,44
1998,ZZ,98728,EMIRADOS ARABES,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,26
1998,ZZ,11827,GRECIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,219
1998,ZZ,29203,IRA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,9
1998,ZZ,98647,ROMENIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,14
1998,ZZ,98566,CHECOSLOVAQUIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,23
1998,ZZ,98043,GANA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,14
1998,ZZ,98701,ARGELIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,5
1998,ZZ,11827,GRECIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,61
1998,ZZ,11320,GUIANA FRANCESA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,601
1998,ZZ,98604,CABO VERDE,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,24
1998,ZZ,11762,UCRANIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,2
1998,ZZ,98426,FINLANDIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,38
1998,ZZ,98680,BANGLADESH,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,2
1998,ZZ,29092,ZIMBABWE,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,5
1998,ZZ,98647,ROMENIA,2,MASCULINO,-3,#NE,-3,#NE,0,NÃO INFORMADO,10
1998,ZZ,98787,AFRICA DO SUL,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,78
1998,ZZ,98124,TUNISIA,4,FEMININO,-3,#NE,-3,#NE,0,NÃO INFORMADO,23
