Election Year,Place (ZZ = Exterior),Municipality Code,Municipality Name,Gender Code,Gender Description,Marital Status Code,Marital Status Description,Age Group Code,Age Group Description,Educational Attainment Code,Educational Attainment Description,Quantity of Voters
ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL
2002,ZZ,11207,COREIA,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,1
2002,ZZ,98868,CUBA,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,14
2002,ZZ,11444,PARAGUAI,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,12
2002,ZZ,11509,PORTUGAL,2,MASCULINO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,285
2002,ZZ,98906,CANADA,2,MASCULINO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,183
2002,ZZ,2828,TAIWAN,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,9
2002,ZZ,98965,ANGOLA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,18
2002,ZZ,11584,VENEZUELA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,21
2002,ZZ,11169,CHILE,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,122
2002,ZZ,98825,INDIA,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,12
2002,ZZ,11460,PERU,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,50
2002,ZZ,98221,SIRIA,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MÉDIO INCOMPLETO,13
2002,ZZ,98388,NICARAGUA,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MÉDIO INCOMPLETO,9
2002,ZZ,98981,AUSTRALIA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,88
