Election Year,Place (ZZ = Exterior),Municipality Code,Municipality Name,Gender Code,Gender Description,Marital Status Code,Marital Status Description,Age Group Code,Age Group Description,Educational Attainment Code,Educational Attainment Description,Quantity of Voters
ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL
2018,ZZ,29173,KATMANDU,2,MASCULINO,3,CASADO,4549,45 a 49 anos,6,ENSINO M<c9>DIO COMPLETO,1
2018,ZZ,29173,KATMANDU,4,FEMININO,1,SOLTEIRO,5559,55 a 59 anos,8,SUPERIOR COMPLETO,1
2018,ZZ,29173,KATMANDU,4,FEMININO,3,CASADO,2529,25 a 29 anos,8,SUPERIOR COMPLETO,1
2018,ZZ,29254,ABIDJ<c3>,2,MASCULINO,3,CASADO,6064,60 a 64 anos,8,SUPERIOR COMPLETO,2
2018,ZZ,29254,ABIDJ<c3>,2,MASCULINO,3,CASADO,6569,65 a 69 anos,5,ENSINO M<c9>DIO INCOMPLETO,1
2018,ZZ,29254,ABIDJ<c3>,4,FEMININO,1,SOLTEIRO,3034,30 a 34 anos,6,ENSINO M<c9>DIO COMPLETO,1
2018,ZZ,29254,ABIDJ<c3>,4,FEMININO,1,SOLTEIRO,3539,35 a 39 anos,8,SUPERIOR COMPLETO,1
2018,ZZ,29262,ABU DHABI,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,7,SUPERIOR INCOMPLETO,14
2018,ZZ,29262,ABU DHABI,2,MASCULINO,1,SOLTEIRO,3034,30 a 34 anos,8,SUPERIOR COMPLETO,44
2018,ZZ,29262,ABU DHABI,2,MASCULINO,1,SOLTEIRO,3539,35 a 39 anos,4,ENSINO FUNDAMENTAL COMPLETO,2
2018,ZZ,29262,ABU DHABI,2,MASCULINO,3,CASADO,4549,45 a 49 anos,6,ENSINO M<c9>DIO COMPLETO,12
2018,ZZ,29262,ABU DHABI,2,MASCULINO,3,CASADO,5559,55 a 59 anos,6,ENSINO M<c9>DIO COMPLETO,3
2018,ZZ,29262,ABU DHABI,2,MASCULINO,9,DIVORCIADO,6064,60 a 64 anos,8,SUPERIOR COMPLETO,3
2018,ZZ,29262,ABU DHABI,4,FEMININO,1,SOLTEIRO,1900,19 anos,5,ENSINO M<c9>DIO INCOMPLETO,2
2018,ZZ,29262,ABU DHABI,4,FEMININO,1,SOLTEIRO,2124,21 a 24 anos,6,ENSINO M<c9>DIO COMPLETO,9
2018,ZZ,29262,ABU DHABI,4,FEMININO,1,SOLTEIRO,3034,30 a 34 anos,5,ENSINO M<c9>DIO INCOMPLETO,3
2018,ZZ,29262,ABU DHABI,4,FEMININO,1,SOLTEIRO,3539,35 a 39 anos,8,SUPERIOR COMPLETO,44
2018,ZZ,29262,ABU DHABI,4,FEMININO,1,SOLTEIRO,4044,40 a 44 anos,6,ENSINO M<c9>DIO COMPLETO,4
2018,ZZ,29262,ABU DHABI,4,FEMININO,1,SOLTEIRO,4549,45 a 49 anos,6,ENSINO M<c9>DIO COMPLETO,1
2018,ZZ,29262,ABU DHABI,4,FEMININO,3,CASADO,3034,30 a 34 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,2
2018,ZZ,29262,ABU DHABI,4,FEMININO,3,CASADO,3034,30 a 34 anos,5,ENSINO M<c9>DIO INCOMPLETO,2
2018,ZZ,29262,ABU DHABI,4,FEMININO,3,CASADO,4549,45 a 49 anos,5,ENSINO M<c9>DIO INCOMPLETO,1
2018,ZZ,29262,ABU DHABI,4,FEMININO,3,CASADO,8084,80 a 84 anos,8,SUPERIOR COMPLETO,1
2018,ZZ,29262,ABU DHABI,4,FEMININO,9,DIVORCIADO,4044,40 a 44 anos,7,SUPERIOR INCOMPLETO,1
2018,ZZ,29262,ABU DHABI,4,FEMININO,9,DIVORCIADO,4549,45 a 49 anos,7,SUPERIOR INCOMPLETO,4
2018,ZZ,29270,ACCRA-GANA,2,MASCULINO,3,CASADO,3539,35 a 39 anos,8,SUPERIOR COMPLETO,2
2018,ZZ,29270,ACCRA-GANA,4,FEMININO,3,CASADO,4044,40 a 44 anos,8,SUPERIOR COMPLETO,1
2018,ZZ,29270,ACCRA-GANA,4,FEMININO,3,CASADO,5559,55 a 59 anos,8,SUPERIOR COMPLETO,1
2018,ZZ,29270,ACCRA-GANA,4,FEMININO,3,CASADO,7074,70 a 74 anos,6,ENSINO M<c9>DIO COMPLETO,1
2018,ZZ,29289,AM<c3>,2,MASCULINO,1,SOLTEIRO,1900,19 anos,6,ENSINO M<c9>DIO COMPLETO,4
2018,ZZ,29289,AM<c3>,2,MASCULINO,1,SOLTEIRO,2124,21 a 24 anos,6,ENSINO M<c9>DIO COMPLETO,8
2018,ZZ,29289,AM<c3>,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,1
2018,ZZ,29289,AM<c3>,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,6,ENSINO M<c9>DIO COMPLETO,16
2018,ZZ,29289,AM<c3>,2,MASCULINO,1,SOLTEIRO,3034,30 a 34 anos,4,ENSINO FUNDAMENTAL COMPLETO,1
2018,ZZ,29289,AM<c3>,2,MASCULINO,1,SOLTEIRO,3034,30 a 34 anos,5,ENSINO M<c9>DIO INCOMPLETO,2
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,3539,35 a 39 anos,6,ENSINO M<c9>DIO COMPLETO,8
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,3539,35 a 39 anos,7,SUPERIOR INCOMPLETO,1
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,4044,40 a 44 anos,6,ENSINO M<c9>DIO COMPLETO,6
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,4549,45 a 49 anos,1,ANALFABETO,1
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,6064,60 a 64 anos,4,ENSINO FUNDAMENTAL COMPLETO,2
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,7074,70 a 74 anos,8,SUPERIOR COMPLETO,3
2018,ZZ,29289,AM<c3>,2,MASCULINO,3,CASADO,7579,75 a 79 anos,8,SUPERIOR COMPLETO,1
