País,Total
Canada,30146
Estados Unidos,1388000
Mexico,15000
Argentina,37100
Bolivia,50100
Chile,10600
Colombia,2168
Equador,1800
Guiana,7500
Guiana Francesa,18000
Paraguai,200000
Peru,3520
Suriname,20000
Uruguai,30135
Venezuela,26000
Antígua e Barbuda,8
Bahamas ,100
Barbados,50
Belize,47
Costa Rica,1250
Cuba,750
El Salvador,350
Guatemala,425
Haiti,70
Honduras,396
Jamaica,160
Nicarágua,284
Panamá,2000
República Dominicana,820
Santa Lúcia,10
Trinidad e Tobago,101
Alemanha,91087
Austria,4413
Belgica,60000
Bulgária,60
Croácia,200
Dinamarca,2500
Eslovênia,72
Espanha,158761
Finlândia,550
França,80010
Grécia,3000
PAISES BAIXOS,20426
Hungria,400
Irlanda,18000
Itália,85000
Noruega,5542
Polônia,380
Portugal,136220
Inglaterra,180000
REPUBLICA CHECA,460
República da Eslováquia,102
Romênia,141
Rússia,400
Sérvia,108
Suécia,6462
Suíça,57500
Ucrânia,85
Vaticano,10
África do Sul,1170
Angola,20000
Argélia,71
Benin,13
Botswana,29
Burkina Faso,30
Cabo Verde,350
Camaroes,80
Costa do Marfim,12
Egito,350
Etiopia,19
Gabao,70
Gana,28
Guine,52
Guine Bissau,354
Guine Equatorial,228
Libia,1
Mali,28
Marrocos,151
Mocambique,3500
Namibia,115
Nigeria,1212
Kenia,110
República Democrática do Congo,168
República do Congo,150
Sao Tome e Principe,45
Senegal,270
Sudao,24
Tanzânia,70
Togo,25
Tunísia,50
Zâmbia,49
Zimbabue,0
Arábia Saudita,500
Armênia,21
Catar,670
Emirados Árabes,2300
Irã,190
Iraque,15
Israel,20000
Jordânia,1300
Kuwait,650
Líbano,7300
Omã,150
Síria,3090
Palestina,4000
Turquia,402
Azerbaijão,35
Cazaquistão,10
China,6303
Cingapura,900
Coreia,1248
Taiwan,600
Filipinas,300
Índia,450
Indonésia,150
Japão,230552
Malásia,202
Paquistão,18
Tailândia,500
TIMOR-LESTE,300
Vietnã,40
Austrália,45300
Nova Zelândia,7714
