Election Year,Place (ZZ = Exterior),Municipality Code,Municipality Name,Gender Code,Gender Description,Marital Status Code,Marital Status Description,Age Group Code,Age Group Description,Educational Attainment Code,Educational Attainment Description,Quantity of Voters
ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL
2006,ZZ,11800,BOLÍVIA,4,FEMININO,-3,#NE,-3,#NE,1,ANALFABETO,1
2006,ZZ,98949,ÁUSTRIA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,51
2006,ZZ,29181,JORDÂNIA,4,FEMININO,-3,#NE,-3,#NE,3,ENSINO FUNDAMENTAL INCOMPLETO,11
2006,ZZ,11282,FRANÇA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,5
2006,ZZ,98205,TAILÂNDIA,2,MASCULINO,-3,#NE,-3,#NE,5,ENSINO MÉDIO INCOMPLETO,1
2006,ZZ,98361,NIGÉRIA,4,FEMININO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,1
2006,ZZ,29033,IRLANDA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,35
2006,ZZ,11100,ALEMANHA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,50
2006,ZZ,2828,TAIWAN,2,MASCULINO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,9
2006,ZZ,98469,EL SALVADOR,2,MASCULINO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,18
2006,ZZ,98760,RÚSSIA,2,MASCULINO,-3,#NE,-3,#NE,4,ENSINO FUNDAMENTAL COMPLETO,2
2006,ZZ,11304,GUIANA,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,9
2006,ZZ,29211,INDONÉSIA,4,FEMININO,-3,#NE,-3,#NE,7,SUPERIOR INCOMPLETO,1
2006,ZZ,11320,GUIANA FRANCESA,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,25
2006,ZZ,11347,ISRAEL,4,FEMININO,-3,#NE,-3,#NE,5,ENSINO MÉDIO INCOMPLETO,98
2006,ZZ,11541,SURINAME,4,FEMININO,-3,#NE,-3,#NE,6,ENSINO MÉDIO COMPLETO,28
2006,ZZ,11266,ESTADOS UNIDOS,4,FEMININO,-3,#NE,-3,#NE,8,SUPERIOR COMPLETO,6568
