Pais,Total
África do Sul,3750
Angola,15000
Argélia,54
Benin,50
Botsuana,20
Burkina Faso,50
Cabo Verde,300
Camarões,60
Chade,16
República Democrática do Congo,100
República do Congo,32
COSTA DO MARFIM,100
Egito,675
Eritréia,1
Etiópia,50
Gabão,73
Gana,240
Guiné ,34
Guiné Equatorial,58
Guiné Bissau,569
Malawi,70
Mali,29
Marrocos,311
Mauritânia,8
Moçambique,3500
Namíbia,120
Nigéria,180
KENIA,280
Burundi,15
Ruanda,35
Somália,20
Uganda,50
São Tomé e Príncipe,106
Senegal,250
Sudão,5
Tanzânia,70
Togo,40
Tunísia,70
Zâmbia,100
Zimbábue,15
Argentina,89020
Bolívia,39258
Chile,18185
Colômbia,18071
Equador,3000
Guiana,15800
Guiana Francesa,72300
Paraguai,240000
Peru,2993
Suriname,30000
Uruguai,43412
Venezuela,11800
COMUNIDADE DAS BAHAMAS,200
Barbados,35
Belize,55
Costa Rica,1500
Cuba,179
El Salvador,500
Guatemala,550
Haiti,90
Honduras,336
Jamaica,60
Ilhas Cayman,200
Nicarágua,300
Panamá,4500
República Dominicana,500
Santa Lucia,16
Trinidad Tobago,112
Aruba,288
Curaçao,260
Canadá,121950
Estados Unidos,1775000
México,45000
Azerbaijão,70
Bangladesh,14
Cazaquistão,104
Quirguistão,1
China,10106
Coréia do Norte,1
COREIA,1088
Filipinas,385
Micronésia,1
Guam,3
Índia,860
Indonésia,1000
Japão,211138
Malásia,400
Myanmar,36
Nepal,60
Paquistão,40
Cingapura,1500
Sri Lanka,22
Tailândia,315
Taiwan,264
Timor-Leste,123
Vietnã,333
Albânia,120
Alemanha,144120
Armênia,30
Áustria,10000
Belarus,57
Bélgica,40000
Bósnia-Herzegovina,50
Bulgária,76
Chipre,230
Croácia,300
Dinamarca,4599
Eslovênia,299
Espanha,156439
Estônia,414
Finlândia,2500
França,81300
Mônaco,100
Geórgia,60
Grécia,5000
Hungria,800
Irlanda,50000
Itália,161000
Noruega,10858
Islândia,323
Países Baixos,32252
Polônia,3000
Portugal,276200
Inglaterra,220000
ESLOVAKIA,430
República checa,1053
Romênia,425
Rússia,1100
Sérvia,282
Suécia,16814
Suíça,75700
Liechtenstein,100
Turquia,1050
Ucrânia,422
Moldova,12
Vaticano,10
Austrália,56610
Nova Zelândia,6663
Arábia Saudita,650
Catar,1968
Emirados Árabes,5500
Irã,116
Iraque,80
Israel,15000
Jordânia,2650
Kuwait,300
Líbano,21000
Omã,400
Palestina,6000
Síria,2600
